Male,Asian,White,Black,top,right,bottom,left
0.9632268937918572,0.3400147407305753,0.5111322000322653,0.002557327718352032,461,1556,536,1481
0.07210433900462375,0.07927997296733456,0.01813721504150037,0.20818929351478288,484,563,574,474
0.056856463827627116,0.024875563487681,0.942306015497235,0.015996708747254094,418,1258,470,1207
0.9634788447844965,0.008841329995859551,0.8653083055783478,0.00033153466432122664,378,892,486,784
0.9441260775134369,0.0472867004524683,0.024733484194300062,0.6223725511165791,350,1053,386,1017
0.22824076513219604,0.05097341870808066,0.02433847540538605,0.3641948326085372,395,1471,447,1420
0.95364685478378,0.11710185282333338,0.0098622233714687,0.3119720515370814,353,664,396,621
0.9887519318845804,0.017085830177555713,0.9209335374220632,0.0023348458760539333,330,901,366,865
0.9626854359223282,0.011819164338327607,0.7825534444123272,0.0010090337966638132,319,1144,362,1101
0.6282598063729086,0.09343153928474597,0.01880161352514798,0.7014300353512667,426,681,488,619
0.977488905525576,0.011361757079578802,0.023043156193474554,0.7823965481046395,348,794,391,751
0.04483450383124398,0.1116838985115879,0.2755276734807866,0.01155566669787432,374,297,410,261
0.25045362899206824,0.22447596217832438,0.8511658146333534,0.0008313464897763336,523,1262,585,1199
0.1252704033801276,0.37257800196019397,0.0025286749339245348,0.27307474286787237,350,1201,386,1165
0.18650501471701128,0.06724931178002536,0.021119821874771367,0.37615908178694824,294,1413,330,1377
0.09289744021282405,0.006835692698836264,0.12933097306531424,0.04732019939918789,382,156,425,112
0.9936333928298439,0.008187389149297323,0.977738684568098,0.0002994695118887114,346,269,382,233
0.6993038379224346,0.12610114515351037,0.003224863161424697,0.7725722865708538,326,1089,362,1053
0.06653720881926053,0.012705561479992328,0.536322957135383,0.009260414032551545,372,1312,415,1269
0.7036594184977074,0.0001177863798183729,0.9979662024874392,0.002648400328980127,343,982,395,930
0.9864688282670717,0.00273667198003299,0.4531457804116487,0.007389228576498309,415,1867,504,1778
